"=""1o. Agrupamento""";"=""2o. Agrupamento""";"=""3o. Agrupamento""";"=""Recurso#Unid. Medida""";"=""Saldo""";"=""Custo#Total""";"=""Custo#Médio"""
"=""Almox Central""";"=""60 Conjuntos ACESSORIOS""";"=""032048 - CORRENTE COMPLEMENTAR SIMPLES CARROC (Un)""";"=""Un""";"2";"35,0433972258065";"17,5216986129032"
"=""Almox Central""";"=""ME Caixa de Papelão""";"=""497836 - CX.PAP.OND.DUP.25X20X16cm.. (Un)""";"=""Un""";"3080";"7519,68176163074";"2,44145511741258"
"=""Almox Central""";"=""ME Caixa de Papelão""";"=""497940 - CX.PAP.OND.DUP.42X20X16cm.. (Un)""";"=""Un""";"1340";"4464,5662776336";"3,33176587883104"
"=""Almox Central""";"=""ME Diversos""";"=""400025 - MAD. BARROTE P/EMBALAGEM 0.05 X0.05 X 3.0M (Un)""";"=""Un""";"375";"5274,318908";"14,0648504213333"
"=""Almox Central""";"=""ME Diversos""";"=""497851 - MAD. P/ EMB. PINOS 3,0 x 0,10 x 0,023m. (Un)""";"=""Un""";"1132";"12327,48";"10,89"
"=""Almox Central""";"=""ME Diversos""";"=""497875 - FRASCO 500ML C/ TAMPA DE LACRE (Un)""";"=""Un""";"400";"308,548339";"0,7713708475"
"=""Almox Central""";"=""ME Fitas e Selos""";"=""313209 - FITA CREPE 48x50 P/PINTURA (Un)""";"=""Un""";"59";"730,475055";"12,3809331355932"
"=""Almox Central""";"=""ME Fitas e Selos""";"=""497820 - MANTA FILMA POLIET. 2mm. X 1,20 MT. (M2)""";"=""M2""";"7200";"12114,8872276071";"1,68262322605655"
"=""Almox Central""";"=""ME Fitas e Selos""";"=""497822 - TUBO EPE DIAM. 30 X 3MM X 1,6M CÓD.T30.3.1,6D30 (Un)""";"=""Un""";"4520";"2301,385912433";"0,509156175317034"
"=""Almox Central""";"=""ME Fitas e Selos""";"=""497848 - FITA PLAST. P/EMB. LARG. 10mm. (Un)""";"=""Un""";"1";"107,154834";"107,154834"
"=""Almox Central""";"=""ME Fitas e Selos""";"=""497872 - FITA ADESIVA USO GERAL 3M C/ 100 MTS (Un)""";"=""Un""";"118";"514,48";"4,36"
"=""Almox Central""";"=""ME Fitas e Selos""";"=""497874 - FITILHO (Un)""";"=""Un""";"11";"92,62";"8,42"
"=""Almox Central""";"=""ME Fitas e Selos""";"=""497885 - FITA MET.P/EMB. - 1mm X 1'' (KG)""";"=""KG""";"2129,6205";"20778,9598122205";"9,75711860973375"
"=""Almox Central""";"=""ME Fitas e Selos""";"=""497897 - SELO DE AÇO POLIDO TR 25X60X0,90 (KG)""";"=""KG""";"125";"1283,31720293915";"10,2665376235132"
"=""Almox Central""";"=""ME Fitas e Selos""";"=""497990 - FIVELA P/ FITA PLASTICA AB 12X28 (Un)""";"=""Un""";"1000";"99,17336";"0,09917336"
"=""Almox Central""";"=""ME Sacos Plasticos""";"=""497952 - SACO PLASTICO 40 X 60 X 0.10 (Un)""";"=""Un""";"1500";"745,5256251";"0,4970170834"
"=""Almox Central""";"=""ME Sacos Plasticos""";"=""497968 - SACO PLASTICO P/ DES. 34X24X0,20 (Un)""";"=""Un""";"3750";"1181,25";"0,315"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641635 - BROCA CONICA 23,0mm DIN 345 (Un)""";"=""Un""";"1";"173,31";"173,31"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641698 - BROCA CONICA 29/64     DIN 345 (Un)""";"=""Un""";"3";"224,7";"74,9"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641716 - BROCA CONICA  1/2      DIN 345 (Un)""";"=""Un""";"2";"153,08";"76,54"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641728 - BROCA CONICA 13/32     DIN 345 (Un)""";"=""Un""";"2";"216,16";"108,08"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641730 - BROCA CONICA 17/32     DIN 345 (Un)""";"=""Un""";"2";"205,636111";"102,8180555"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641735 - BROCA CONICA 17/64     DIN 345 (Un)""";"=""Un""";"2";"184,4136";"92,2068"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641740 - BROCA CONICA 11/16     DIN 345 (Un)""";"=""Un""";"2";"412,87";"206,435"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641753 - BROCA CONICA 25/64     DIN 345 (Un)""";"=""Un""";"1";"60,45";"60,45"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641777 - BROCA CONICA 25/32     DIN 345 (Un)""";"=""Un""";"2";"275,13";"137,565"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641790 - BROCA CONICA  5/16     DIN 345 (Un)""";"=""Un""";"1";"87,096628";"87,096628"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641807 - BROCA CONICA 1            DIN 345 (Un)""";"=""Un""";"1";"255,47";"255,47"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641819 - BROCA CONICA 21/64     DIN 345 (Un)""";"=""Un""";"1";"70,547501";"70,547501"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641832 - BROCA CONICA  3/8      DIN 345 (Un)""";"=""Un""";"1";"68,57";"68,57"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641868 - BROCA CONICA 15/32     DIN 345 (Un)""";"=""Un""";"1";"73,62";"73,62"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641870 - BROCA CONICA 33/64     DIN 345 (Un)""";"=""Un""";"1";"112,748";"112,748"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641875 - BROCA CONICA 9,0mm.   DIN 345 (Un)""";"=""Un""";"2";"129,6";"64,8"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641881 - BROCA CONICA  9/16     DIN 345 (Un)""";"=""Un""";"1";"110,043334";"110,043334"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641893 - BROCA CONICA 27/64     DIN 345 (Un)""";"=""Un""";"2";"111,66";"55,83"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641911 - BROCA CONICA  5/8       DIN 345 (Un)""";"=""Un""";"1";"108,885";"108,885"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641930 - BROCA CONICA 55/64     DIN 345 (Un)""";"=""Un""";"1";"177,62";"177,62"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641935 - BROCA CONICA 21/32     DIN 345 (Un)""";"=""Un""";"5";"720,6";"144,12"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641947 - BROCA CONICA 8,5MM   DIN 345 (Un)""";"=""Un""";"2";"151,490079714286";"75,7450398571429"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641960 - BROCA CONICA 1.1/16   DIN 345 (Un)""";"=""Un""";"1";"258,77";"258,77"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641972 - BROCA CONICA  3/4      DIN 345 (Un)""";"=""Un""";"2";"306,03";"153,015"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""641996 - BROCA CONICA 39/64     DIN 345 (Un)""";"=""Un""";"7";"292,894";"41,842"
"=""Almox Central""";"=""MFA Brocas Conicas de Aço Rápido""";"=""643294 - BROCA CONICA  1/4      DIN 345 (Un)""";"=""Un""";"2";"147,872047";"73,9360235"
"=""Almox Central""";"=""MFA Brocas de Topo de Aço Rápido""";"=""643452 - BROCA TOPO 5/16     4 NAVALHAS (Un)""";"=""Un""";"5";"368,016667";"73,6033334"
"=""Almox Central""";"=""MFA Brocas de Topo de Aço Rápido""";"=""643506 - BROCA TOPO 1/4      4 NAVALHAS (Un)""";"=""Un""";"3";"99,51";"33,17"
"=""Almox Central""";"=""MFA Brocas Diversas""";"=""643105 - BROCA DE CENTRO 3/16X7/16 (Un)""";"=""Un""";"11";"616,2667964939";"56,0242542267182"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641303 - BROCA AR  1/8  HAST.CIL.DIN338 (Un)""";"=""Un""";"12";"51,104347";"4,25869558333333"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641305 - BROCA AR  1/8  HAST.CIL.DIN338 LONGA (Un)""";"=""Un""";"8";"156,959892";"19,6199865"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641310 - BROCA AR 7/32  LONGA  DIN340 (Un)""";"=""Un""";"1";"46,9999997596";"46,9999997596"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641340 - BROCA AR 11/32 HAST.CIL.DIN338 (Un)""";"=""Un""";"13";"191,745267";"14,7496359230769"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641364 - BROCA AR 11/64 HAST.CIL.DIN338 (Un)""";"=""Un""";"6";"44,016197";"7,33603283333333"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641388 - BROCA AR  7/16 LONGA    DIN340 (Un)""";"=""Un""";"6";"515,832099";"85,9720165"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641390 - BROCA AR 11/32 LONGA    DIN340 (Un)""";"=""Un""";"10";"683,075545";"68,3075545"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641406 - BROCA AR 13/64 HAST.CIL.DIN338 (Un)""";"=""Un""";"9";"79,324999";"8,81388877777778"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641443 - BROCA AR 17/32 HAST.CIL.DIN338 (Un)""";"=""Un""";"4";"263,784";"65,946"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641509 - BROCA AR  3/16 HAST.CIL.DIN338 (Un)""";"=""Un""";"7";"56,608305";"8,08690071428572"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641560 - BROCA AR  3/8  HAST.CIL.DIN338 (Un)""";"=""Un""";"3";"60,0833110000001";"20,0277703333334"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641561 - BROCA AR  3/8 LONGA HAST.CIL.DIN338 (Un)""";"=""Un""";"5";"306,700335";"61,340067"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641583 - BROCA AR  5/16 HAST.CIL.DIN338 (Un)""";"=""Un""";"3";"38,9925";"12,9975"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641649 - BROCA AR  7/16 HAST.CIL.DIN338 (Un)""";"=""Un""";"11";"401,9675";"36,5425"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641662 - BROCA AR  7/32 HAST.CIL.DIN338 (Un)""";"=""Un""";"13";"306,3125";"23,5625"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641674 - BROCA AR 13/32 HAST.CIL.DIN338 (Un)""";"=""Un""";"4";"68,034317";"17,00857925"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641704 - BROCA AR  9/32 HAST.CIL.DIN338 (Un)""";"=""Un""";"7";"83,837468";"11,9767811428571"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641741 - BROCA AR  9/64 HAST.CIL.DIN338 (Un)""";"=""Un""";"3";"8,740646";"2,91354866666667"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641765 - BROCA AR  1/4  HAST.CIL.DIN338 (Un)""";"=""Un""";"6";"76,7999999631";"12,79999999385"
"=""Almox Central""";"=""MFA Brocas Paralelas de Aço Rápido""";"=""641766 - BROCA AR  9.0MM HAST.CIL.DIN338 (Un)""";"=""Un""";"6";"47,175";"7,8625"
"=""Almox Central""";"=""MFA Ferram Manuais p Uso da Operação""";"=""600158 - LIMA ROTATIVA TOPO ESFER/CILIN 10MM (Un)""";"=""Un""";"12";"1493,535053";"124,461254416667"
"=""Almox Central""";"=""MFA Ferram Manuais p Uso da Operação""";"=""600517 - ESCARIADOR RETO Ø20 P/ BROCA 8.8MM (11/32"""") REF. BA0000000 (Un)""";"=""Un""";"2";"287,234094";"143,617047"
"=""Almox Central""";"=""MFA Ferram Manuais p Uso Geral""";"=""633975 - CADEADO 35MM (Un)""";"=""Un""";"8";"220";"27,5"
"=""Almox Central""";"=""MFA Ferram Manuais p Uso Geral""";"=""649351 - ESC. DE ACO 1777 P/SOLDADOR (Un)""";"=""Un""";"2";"7,558703";"3,7793515"
"=""Almox Central""";"=""MFA Ferram Manuais p Uso Manutenção""";"=""600360 - BROCA ESCALONADA M8 - K6223-8 (Un)""";"=""Un""";"3";"813";"271"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645008 - MACHO OSG 5/16 UNF 100B DIN351 (Un)""";"=""Un""";"3";"165,613942";"55,2046473333333"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645009 - MACHO 3/8 NPT   E-710 (Un)""";"=""Un""";"1";"92,23";"92,23"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645012 - MACHO MÁQ HEL. 1/4 UNF DIN2182-281/2 (Un)""";"=""Un""";"14";"984,930798";"70,3521998571428"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645016 - MACHO 5/8 UNF DIN2183-286/2 OX (Un)""";"=""Un""";"2";"267,78";"133,89"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645020 - MACHO SHT 5/8"""" - 11 UNC 2B+0,2 HSS (Un)""";"=""Un""";"1";"182,42";"182,42"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645057 - MACHO 3/8 UNF DIN2182-281/2 OX (Un)""";"=""Un""";"1";"59,345";"59,345"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645060 - MACHO 7/16 NF DIN2183-286/2 OX (Un)""";"=""Un""";"2";"147,09336";"73,54668"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645072 - MACHO 1/2 UNF DIN2183-286/2 OX (Un)""";"=""Un""";"1";"77,545";"77,545"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645078 - MACHO 1/2 UNC 2183-285/1 P HELIC (Un)""";"=""Un""";"1";"81,825";"81,825"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645102 - MACHO OSG 1/4 UNF 100B DIN351 (Un)""";"=""Un""";"4";"424";"106"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645126 - MACHO 1/4""""  BSP (Un)""";"=""Un""";"2";"169,4";"84,7"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645175 - MACHO 1/2 UNC DIN-2183-285/2 OX (Un)""";"=""Un""";"2";"221,648054";"110,824027"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645260 - MACHO MÁQ 3/4 UNC DIN2182-280/2 (Un)""";"=""Un""";"2";"384,106917";"192,0534585"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645282 - MACHO 5/8 UNF 100-B DIN-341 (Un)""";"=""Un""";"1";"142,2";"142,2"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645302 - MACHO 1/2 UNF 100-B DIN-341 (Un)""";"=""Un""";"1";"80,95";"80,95"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645309 - MACHO OSG 3/8 UNF 100B DIN351 (Un)""";"=""Un""";"2";"124,652";"62,326"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645369 - MACHO OSG 1/4 UNC 100C DIN351 (Un)""";"=""Un""";"2";"187,903549";"93,9517745"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645450 - MACHO OSG 5/8 UNC 100A DIN351 (Un)""";"=""Un""";"1";"203,54";"203,54"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645461 - MACHO  1/8 NPT OSG - ANSI-108A (Un)""";"=""Un""";"4";"256,879777";"64,21994425"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645724 - MACHO 1/8 UNC JOGO (Un)""";"=""Un""";"4";"317,3";"79,325"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645758 - MACHO 1/2  BSP GG-MS - RETO (Un)""";"=""Un""";"1";"163,44";"163,44"
"=""Almox Central""";"=""MFA Ferram Operac Machos""";"=""645760 - MACHO 1/2 UNC DIN2183-285/3 GG-MS (Un)""";"=""Un""";"2";"175,690643";"87,8453215"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""643427 - INSERTO PASTILHA ROSCA EXT RT16.01W-60P YBG201 (Un)""";"=""Un""";"10";"550";"55"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""643428 - INSERTO PASTILHA ROSCA INT LT22.01W-60P YBG201 (Un)""";"=""Un""";"50";"3616,5";"72,33"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""643429 - INSERTO PASTILHA TCMT 090204 (Un)""";"=""Un""";"10";"400";"40"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""648369 - INS NA6L3 (Un)""";"=""Un""";"5";"320";"64"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""648373 - INS SDMT 09.03.08 KC725M (Un)""";"=""Un""";"10";"350,9";"35,09"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""648374 - INS SPMT 12.04.08 D-51 WSM 25 (Un)""";"=""Un""";"25";"1048,25";"41,93"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""648375 - INS SNGX 13.06.08 - M TT 9080 (Un)""";"=""Un""";"10";"602,16";"60,216"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""648384 - INS SPMG 07T308 ZVRW1328 (Un)""";"=""Un""";"10";"453,75";"45,375"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""648607 - INS CNMA 12.04.04 IC 428 (Un)""";"=""Un""";"7";"149,24";"21,32"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""648671 - INS SNMG 12.04.08 TF - IC 9250 (Un)""";"=""Un""";"10";"353,6";"35,36"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""648713 - INS GIPI 2.50-0.20 (Un)""";"=""Un""";"10";"700";"70"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""649035 - INS 22 E R M  - N 60 - IC 250 (Un)""";"=""Un""";"15";"2500,5";"166,7"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""649042 - INS 16 IRM AG 60 VP 15 MIT (Un)""";"=""Un""";"5";"353,08";"70,616"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""649044 - INS INT 16 IR 6 STACME TT7010 (Un)""";"=""Un""";"5";"409,585";"81,917"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""649655 - INSERTO MGMN 400 RWM215 (Un)""";"=""Un""";"20";"1300";"65"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""649971 - INS VBMT 16.04.08 - MT TT 3500 (Un)""";"=""Un""";"10";"286,2";"28,62"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""650043 - INS TPMR 16.03.08  - TT 3500 (Un)""";"=""Un""";"9";"288";"32"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""650081 - INS TNMG 16.04.08 RF IC 9250 (Un)""";"=""Un""";"6";"231,2";"38,5333333333333"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""650161 - INS DNMG 15.06.08 MT TT8125 (Un)""";"=""Un""";"10";"431,6";"43,16"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""650303 - INS TDT 1.30- TT7220 (Un)""";"=""Un""";"10";"627,26";"62,726"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""650311 - INS TDC 4 - 4L TT7220 (Un)""";"=""Un""";"10";"764,4";"76,44"
"=""Almox Central""";"=""MFA Insertos Normais""";"=""650505 - INS XCMT 08.03.04 MF IC908 (Un)""";"=""Un""";"10";"414,426667";"41,4426667"
"=""Almox Central""";"=""MFA Laminas de Serra Comuns""";"=""646301 - LAMINA DE SERRA 1/2  X 12 (Un)""";"=""Un""";"17";"192,765828";"11,3391663529412"
"=""Almox Central""";"=""MFA Laminas de Serra Comuns""";"=""646404 - LAMINA DE SERRA 1    X 12 (Un)""";"=""Un""";"5";"598,076923";"119,6153846"
"=""Almox Central""";"=""MFA Laminas de Serra p Maq Automatica""";"=""647433 - SERRA EM FITA PB - 1""""   4-6 VPR (Un)""";"=""Un""";"30";"4770,840913";"159,028030433333"
"=""Almox Central""";"=""MFA Laminas de Serra p Maq Automatica""";"=""647471 - SERRA EM FITA PB II - 27-  3-4  C/ 3,66M (Un)""";"=""Un""";"35";"5586,992656";"159,6283616"
"=""Almox Central""";"=""MFA Lixas p Ferro""";"=""649259 - DISCO DE LIXA G-36  7"""" (Un)""";"=""Un""";"120";"633,6";"5,28"
"=""Almox Central""";"=""MFA Lixas p Ferro""";"=""649727 - LIXA DE PANO P/ FERRO G-100 (Un)""";"=""Un""";"119";"315,35";"2,65"
"=""Almox Central""";"=""MFA Lixas p Ferro""";"=""649740 - LIXA DE PANO P/ FERRO G-60 (Un)""";"=""Un""";"11";"29,766";"2,706"
"=""Almox Central""";"=""MFA Lixas p Ferro""";"=""649764 - LIXA DE PANO P/ FERRO G-220 (Un)""";"=""Un""";"100";"245";"2,45"
"=""Almox Central""";"=""MFA Lixas p Ferro""";"=""649855 - LIXA D'AGUA G-220 (Un)""";"=""Un""";"50";"89";"1,78"
"=""Almox Central""";"=""MFA Lixas p Ferro""";"=""649860 - LIXA D'AGUA G-400 (Un)""";"=""Un""";"271";"353,845436";"1,30570271586716"
"=""Almox Central""";"=""MFA Lixas p Ferro""";"=""649870 - LIXA D'AGUA G-80 (Un)""";"=""Un""";"100";"189";"1,89"
"=""Almox Central""";"=""MFA Lixas p Ferro""";"=""649910 - DISCO DE LIXA  4.1/2"""" G-36 (Un)""";"=""Un""";"200";"660,333333";"3,301666665"
"=""Almox Central""";"=""MFA Lixas p Ferro""";"=""649911 - DISCO DE LIXA HOOKIT G-80 (Un)""";"=""Un""";"1100";"4279";"3,89"
